course_name,fin_aid_status,no_enrolled,no_reviews,skills,star_rating
Full Stack Cloud Development Capstone Project,Financial aid available,15499,79,full stack development|web application|node.js|javascript|django (web framework),4.4
Networking Fundamentals,Financial aid available,0,0,internet protocol (ip) suite|network transmissions and hardware|network theory|network architecture|network management / troubleshooting,0.0
Developing AI Applications with Python and Flask,Financial aid available,38603,419,artificial intelligence (ai)|web application|python programming|application development|flask,4.3
Django Application Development with SQL and Databases,Financial aid available,24057,150,relational database (rdbms)|object relational mapping (orm)|sql|django (web framework)|back-end applications,4.6
"Python for Data Science, AI & Development",Financial aid available,624728,32856,data science|python programming|data analysis|pandas|numpy,4.6
Developing Front-End Apps with React,Financial aid available,23515,213,web development|user interface|react (web framework)|front-end development|javascript,4.3
"Introduction to Web Development with HTML, CSS, JavaScript",Financial aid available,95937,1409,web development|cascading style sheets (css)|html|git (software)|javascript,4.6
Python Scripting Fundamentals,Financial aid available,0,0,using databases and interacting with web sites|create user-defined functions|structuring code for reuse|developing a simple application|exploring programming concepts,0.0
Developing Back-End Apps with Node.js and Express,Financial aid available,21330,141,web development|back-end development|server-side javascript|express|computer science,4.3
Getting Started with Git and GitHub,Financial aid available,43953,557,distributed version control (drcs)|open source|version control systems|github|git (software),4.7
Introduction to Cloud Computing,Financial aid available,217106,4156,cloud native|devops|iaas paas saas|hybrid multicloud|cloud computing,4.6
Managing Relational Databases,Financial aid available,0,0,relational database concepts|organizing data|working with sql queries and functions|manipulating table data|using subqueries,0.0
Introduction to IT Security,Financial aid available,0,0,information security (infosec)|network security|risk management|computer security incident management|mobile security,0.0
Introduction to Web Applications,Financial aid available,0,0,embedding and linking content|adding animation|using advanced techniques to select and apply styles|formatting content with css|authoring content in html,0.0
Networking Fundamentals,Financial aid available,0,0,internet protocol (ip) suite|network transmissions and hardware|network theory|network architecture|network management / troubleshooting,0.0
Application Development using Microservices and Serverless ,Financial aid available,25424,142,serverless|microservices|representational state transfer (rest)|openshift|cloud applications,4.6
Getting Started with Git and GitHub,Financial aid available,43953,557,distributed version control (drcs)|open source|version control systems|github|git (software),4.7
Introduction to Test Driven Development (TDD),Financial aid available,10347,130,test case|software testing|behavior-driven development|automated testing|test-driven development,4.8
Developing AI Applications with Python and Flask,Financial aid available,38603,419,artificial intelligence (ai)|web application|python programming|application development|flask,4.3
Operating Systems Fundamentals,Financial aid available,1932,0,performing basic linux tasks|user and group accounts|managing the file system in linux|managing linux permissions and ownership|managing jobs and processes,0.0
"Introduction to Containers w/ Docker, Kubernetes & OpenShift",Financial aid available,64089,569,kubernetes|docker|cloud native|containers|openshift,4.4
Hands-on Introduction to Linux Commands and Shell Scripting,Financial aid available,60903,825,linux|bash (unix shell)|extract transform and load (etl)|linux commands|shell script,4.6
"Python for Data Science, AI & Development",Financial aid available,624728,32856,data science|python programming|data analysis|pandas|numpy,4.6
Introduction to Software Engineering,Financial aid available,32210,376,software architecture|python programming|software development lifecycle (sdlc)|software engineering|agile and scrum,4.7
Introduction to Agile Development and Scrum,Financial aid available,41538,1227,agile software development|scrum methodology|zenhub|kanban|sprint planning,4.9
Introduction to Cloud Computing,Financial aid available,217106,4156,cloud native|devops|iaas paas saas|hybrid multicloud|cloud computing,4.6
Introduction to DevOps,Financial aid available,75888,1786,cloud native|devops|ci/cd|agile|tdd/bdd,4.8
Application Development using Microservices and Serverless ,Financial aid available,25424,142,serverless|microservices|representational state transfer (rest)|openshift|cloud applications,4.6
Application Security and Monitoring,Financial aid available,7135,68,open web application security project (owasp)|observability|security|monitoring|logging,4.9
"Introduction to Containers w/ Docker, Kubernetes & OpenShift",Financial aid available,64089,569,kubernetes|docker|cloud native|containers|openshift,4.4
Getting Started with Git and GitHub,Financial aid available,43953,557,distributed version control (drcs)|open source|version control systems|github|git (software),4.7
Introduction to Software Engineering,Financial aid available,32210,376,software architecture|python programming|software development lifecycle (sdlc)|software engineering|agile and scrum,4.7
 System Administration and IT Infrastructure Services,Financial aid available,369394,22978,directory service|lightweight directory access protocol (ldap)|backup,4.7
"Python for Data Science, AI & Development",Financial aid available,624728,32856,data science|python programming|data analysis|pandas|numpy,4.6
Hands-on Introduction to Linux Commands and Shell Scripting,Financial aid available,60903,825,linux|bash (unix shell)|extract transform and load (etl)|linux commands|shell script,4.6
Developing AI Applications with Python and Flask,Financial aid available,38603,419,artificial intelligence (ai)|web application|python programming|application development|flask,4.3
The Bits and Bytes of Computer Networking,Financial aid available,651824,45251,domain name system (dns)|ipv4|network model|troubleshooting,4.7
Operating Systems and You: Becoming a Power User,Financial aid available,427043,25898,powershell|linux file systems|linux|command-line interface,4.7
Django Application Development with SQL and Databases,Financial aid available,24057,150,relational database (rdbms)|object relational mapping (orm)|sql|django (web framework)|back-end applications,4.6
Responsive Web Design in Adobe XD,Financial aid available,137443,2461,adobe xd|user experience (ux)|usability testing|prototype|user experience design (uxd),4.8
Technical Support Fundamentals,Financial aid available,1556792,142024,binary code|customer support|linux|troubleshooting,4.8
Create High-Fidelity Designs and Prototypes in Figma,Financial aid available,167953,3102,user experience (ux)|mockup|figma|prototype|user experience design (uxd),4.8
Build Wireframes and Low-Fidelity Prototypes,Financial aid available,230764,7040,user experience (ux)|ux research|wireframe|prototype|user experience design (uxd),4.9
Conduct UX Research and Test Early Concepts,Financial aid available,181904,4124,user experience (ux)|usability testing|ux research|prototype|user experience design (uxd),4.8
"Start the UX Design Process: Empathize, Define, and Ideate",Financial aid available,394495,12625,user experience (ux)|ux research|wireframe|prototype|user experience design (uxd),4.8
Foundations of User Experience (UX) Design,Financial aid available,1013074,57108,user experience (ux)|ux research|wireframe|prototype|user experience design (uxd),4.8
Basic System Programming on IBM Z,Financial aid available,8996,335,system programming|unix|db2|system administration|jcl,4.8
Introduction to Enterprise Computing,Financial aid available,15634,839,mainframe|z/os|enterprise software|security|ibm z,4.7
Getting Started on Mainframe with z/OS Commands and Panels,Financial aid available,7819,396,system administration|z/os commands|panels|tso|sysop,4.7
Coding Interview Preparation,Financial aid available,38291,226,pseudocode|algorithms|communication|data structure|computer science,4.7
Principles of UX/UI Design,Financial aid available,49742,401,web design|front-end web development|user experience (ux)|accessibility,4.7
Front-End Developer Capstone ,Financial aid available,28555,171,javascript|front-end web development|user interface|react (web framework),4.5
ML Pipelines on Google Cloud,Financial aid available,10071,62,,3.6
Advanced React,Financial aid available,48082,587,unit testing|front-end web development|react (web framework),4.6
Architecting with Google Kubernetes Engine: Foundations,Financial aid available,57580,2369,,4.7
Foundations of Project Management,Financial aid available,1402699,69323,organizational culture|career development|strategic thinking|change management|project management,4.9
Hands-On Labs in Google Cloud for Networking Engineers,Financial aid available,4372,96,,4.7
Preparing for Your Associate Cloud Engineer Journey,Financial aid available,74336,3007,google cloud|cloud computing|gcp infrastructure|gcp ace certification,4.7
"Logging, Monitoring and Observability in Google Cloud",Financial aid available,13533,182,,4.7
Getting Started with Google Kubernetes Engine,,111906,3594,continuous delivery|kubernetes|google cloud platform|jenkins (software),4.5
Networking in Google Cloud: Hybrid Connectivity and Network Management,Financial aid available,23328,1021,,4.8
Reliable Google Cloud Infrastructure: Design and Process,Financial aid available,111023,7133,disaster recovery|site reliability engineering|google cloud platform|cloud computing,4.7
Meta Marketing Science Certification Exam,Financial aid available,3625,71,marketing science|social media marketing|data analysis|facebook advertising|ads manager,4.8
Developing a Google SRE Culture,Financial aid available,21542,797,sre culture|business value|organizational culture,4.7
Marketing Analytics with Meta,Financial aid available,11964,133,a/b testing|meta advertising|social media marketing|data analysis|ads manager,4.8
Data Analytics Methods for Marketing,Financial aid available,13831,166,marketing|marketing mix modeling|data analysis|linear regression|marketing plan,4.7
Project Practicum with Multiple Projects,,0,66,,4.7
Statistics for Marketing,Financial aid available,13407,129,marketing|statistical analysis|data analysis|linear regression|statistical hypothesis testing,4.8
Architecting with Google Kubernetes Engine: Foundations,Financial aid available,57580,2369,,4.7
Preparing for your Professional Cloud Architect Journey,Financial aid available,62469,1317,,4.7
Elastic Google Cloud Infrastructure: Scaling and Automation,Financial aid available,124864,9072,load balancing|virtual private network (vpn)|google cloud platform|autoscaling,4.7
Introduction to Data Analytics,Financial aid available,20820,263,data analysis|marketing|tableau software|data visualization (dataviz),3.7
Essential Google Cloud Infrastructure: Core Services,Financial aid available,140266,11292,debugging|cloud storage|data store|google cloud platform,4.7
Marketing Analytics Foundation,Financial aid available,54703,1519,data analysis|marketing|digital marketing,4.8
Essential Google Cloud Infrastructure: Foundation,Financial aid available,171322,16495,google compute engine|virtual machine|network architecture|google cloud platform,4.7
Reliable Google Cloud Infrastructure: Design and Process,Financial aid available,111023,7133,disaster recovery|site reliability engineering|google cloud platform|cloud computing,4.7
Project Execution,,0,116,,4.3
Project Launch,,1517,238,project management|scope (project management)|communication|work breakdown structure,4.7
Google Cloud Fundamentals: Core Infrastructure,Financial aid available,686016,47023,google compute engine|google app engine (gae)|google cloud platform|cloud computing,4.7
Google Cloud Fundamentals: Core Infrastructure,Financial aid available,686016,47023,google compute engine|google app engine (gae)|google cloud platform|cloud computing,4.7
Palo Alto Networks Network Security Fundamentals,Financial aid available,5027,81,,4.8
Palo Alto Networks Security Operations  Fundamentals,Financial aid available,3353,78,,4.6
Project Planning,,0,166,,4.8
Palo Alto Networks Cybersecurity Foundation,Financial aid available,13837,249,authentication|cryptography|security design|enterprise private network,4.6
Project Initiation: Starting a Successful Project,Financial aid available,501592,16442,stakeholder management|strategic thinking|business writing|project management|project charter,4.8
Project Execution: Running the Project,Financial aid available,248599,6512,quality management|strategic thinking|project execution|risk management|project management,4.8
Palo Alto Networks Cloud Security Fundamentals,Financial aid available,3588,54,cloud computing security|malware|denial-of-service attack (dos)|enterprise private network,4.7
Networking in Google Cloud: Defining and Implementing Networks,Financial aid available,33509,1526,,4.8
Project Planning: Putting It All Together,Financial aid available,315459,9856,project planning|strategic thinking|risk management|task estimation|procurement,4.8
Agile Project Management,Financial aid available,327593,9599,coaching|influencing|agile management|problem solving|scrum,4.8
Google Cloud Fundamentals: Core Infrastructure,Financial aid available,686016,47023,google compute engine|google app engine (gae)|google cloud platform|cloud computing,4.7
Security Best Practices in Google Cloud,Financial aid available,13237,332,,4.6
Hands-On Labs in Google Cloud for Security Engineers,Financial aid available,4565,60,create and understand custom iam roles|secure a kubernetes environment|create and configure network peering,4.8
Mitigating Security Vulnerabilities on Google Cloud,Financial aid available,16137,700,,4.7
Managing Security in Google Cloud,Financial aid available,30347,1047,,4.7
Networking in Google Cloud: Hybrid Connectivity and Network Management,Financial aid available,23328,1021,,4.8
Capstone: Applying Project Management in the Real World,Financial aid available,201658,6227,quality management|stakeholder management|problem solving|effective communication|project management,4.8
Google Cloud Fundamentals: Core Infrastructure,Financial aid available,686016,47023,google compute engine|google app engine (gae)|google cloud platform|cloud computing,4.7
Preparing for Your Professional Cloud Security Engineer Journey,Financial aid available,6928,68,,4.7
Essential Google Cloud Infrastructure: Core Services,Financial aid available,140266,11292,debugging|cloud storage|data store|google cloud platform,4.7
Networking in Google Cloud: Defining and Implementing Networks,Financial aid available,33509,1526,,4.8
Essential Google Cloud Infrastructure: Foundation,Financial aid available,171322,16495,google compute engine|virtual machine|network architecture|google cloud platform,4.7
Elastic Google Cloud Infrastructure: Scaling and Automation,Financial aid available,124864,9072,load balancing|virtual private network (vpn)|google cloud platform|autoscaling,4.7
Production Machine Learning Systems,Financial aid available,26893,938,,4.6
Machine Learning Operations (MLOps): Getting Started,Financial aid available,32335,400,,4.0
Machine Learning in the Enterprise,Financial aid available,29999,1438,tensorflow|machine learning|cloud computing,4.6
Google Cloud Fundamentals: Core Infrastructure,Financial aid available,686016,47023,google compute engine|google app engine (gae)|google cloud platform|cloud computing,4.7
Launching into Machine Learning,Financial aid available,46480,4246,tensorflow|bigquery|machine learning|data cleansing,4.6
Feature Engineering,Financial aid available,31539,1733,,4.5
React Basics,Financial aid available,72642,1086,web application|front-end web development|react (web framework)|application development,4.7
How Google does Machine Learning,Financial aid available,123112,7167,application programming interfaces (api)|inclusive ml|machine learning|google cloud platform|bigquery,4.6
Google Cloud Big Data and Machine Learning Fundamentals,Financial aid available,294774,15659,tensorflow|bigquery|google cloud platform|cloud computing,4.7
HTML and CSS in depth,Financial aid available,60707,958,debugging|user interface|react (web framework)|html and css|javascript,4.7
TensorFlow on Google Cloud,Financial aid available,45294,2724,machine learning|python programming|build input data pipeline|tensorflow|keras,4.4
Version Control,Financial aid available,86116,2090,linux|web development|bash (unix shell)|github|version control,4.7
Introduction to Front-End Development,Financial aid available,211405,7579,web development tools|user interface|front-end web development|html and css|responsive web design,4.8
Programming with JavaScript,Financial aid available,105793,2612,test-driven development|javascript|front-end web development|object-oriented programming (oop),4.7
Talent Acquisition,Financial aid available,5844,51,employee onboarding|job analysis|recruitment|interviewing,4.9
Infrastructure and Application Modernization with Google Cloud,Financial aid available,39131,1424,,4.7
Understanding Google Cloud Security and Operations,Financial aid available,17835,503,,4.8
Meta Social Media Marketing Capstone,Financial aid available,22498,491,meta advertising|social media marketing|marketing strategy|communication|ads manager,4.8
Google Cloud Fundamentals: Core Infrastructure,Financial aid available,686016,47023,google compute engine|google app engine (gae)|google cloud platform|cloud computing,4.7
Financial Statement Analysis,Financial aid available,23406,349,cash flow|bank reconciliation|financial reports analysis|financial statement analysis,4.5
Application Development with Cloud Run,Financial aid available,2894,30,,4.5
"App Deployment, Debugging, and Performance",Financial aid available,23345,1144,application deployment|debugging|google cloud|cloud computing|execution environments,4.6
Meta Spark Creator AR Certification,Financial aid available,0,0,optimizing the scene|ar effect publishing|face tracking|meta spark|world effects,0.0
Microsoft SC-900 Exam Preparation and Practice,Financial aid available,0,0,information security (infosec)|threat intelligence|security analysis|regulatory compliance|threat mitigation,0.0
Foundations of AR,Financial aid available,4789,34,ar in industry|2d & 3d design|ar uses|xr spectrum|ar characteristics,4.7
IBM COBOL Software Development Process,Financial aid available,0,19,,3.9
AR games using Vuforia SDK,Financial aid available,0,0,unity|visual programming language|c# vuforia|plane detection,0.0
Using AR Foundation in Unity,Financial aid available,0,0,mathematical optimization|c sharp (c#) (programming language)|unity|ar foundation|marker detection,0.0
IBM COBOL Basic Testing and Debugging,Financial aid available,0,16,,4.0
Advanced Cybersecurity Concepts and Capstone Project,Financial aid available,0,0,asset management|threat model|cybersecurity strategies|threat mitigation|access control,0.0
IBM COBOL Core,Financial aid available,0,24,computer programming|euler's totient function|intrinsic function|sorting,4.4
IBM COBOL Software Development Practices,Financial aid available,0,27,computer programming|issue tracking system|euler's totient function|scrum (software development),3.7
Automating Real-World Tasks with Python,Financial aid available,66429,2280,serialization|building a solution|creating and translating media files|interacting with web services,4.8
IBM COBOL Basics,Financial aid available,2523,45,cobol divisions|cobol coding|column structure|cobol structure|symbols,4.6
IBM COBOL Data and File Management,Financial aid available,0,21,mainframe|interfaces|computer programming|command-line interface,3.3
Configuration Management and the Cloud,Financial aid available,88080,2322,automation at scale|configuration management|basic monitoring & alerting|cloud computing|using puppet,4.7
DevOps Capstone Project,Financial aid available,5297,49,kubernetes|devops|ci/cd|microservices|cloud computing,4.9
Introduction to Git and GitHub,Financial aid available,231455,6885,using git|version control systems|interacting with github|reverting changes|creating pull requests,4.8
Troubleshooting and Debugging Techniques,Financial aid available,108317,2709,improving software performance|managing scarce resources|advanced troubleshooting|understanding errors|finding the root cause of a problem,4.6
Using Python to Interact with the Operating System,Financial aid available,206627,5657,setting up your development environment|regular expression (regex)|testing in python|automating system administration tasks with python|bash scripting,4.7
Crash Course on Python,Financial aid available,909536,33099,basic python data structures|fundamental programming concepts|basic python syntax|python programming|object-oriented programming (oop),4.8
Continuous Integration and Continuous Delivery (CI/CD),Financial aid available,10258,96,continuous integration|ci/cd|continuous development|automation|infrastructure as code,4.8
Introduction to Test Driven Development (TDD),Financial aid available,10347,130,test case|software testing|behavior-driven development|automated testing|test-driven development,4.8
Application Development using Microservices and Serverless ,Financial aid available,25424,142,serverless|microservices|representational state transfer (rest)|openshift|cloud applications,4.6
Application Security and Monitoring,Financial aid available,7135,68,open web application security project (owasp)|observability|security|monitoring|logging,4.9
Introduction to Enterprise Computing,Financial aid available,15634,839,mainframe|z/os|enterprise software|security|ibm z,4.7
Introduction to Agile Development and Scrum,Financial aid available,41538,1227,agile software development|scrum methodology|zenhub|kanban|sprint planning,4.9
"Introduction to Containers w/ Docker, Kubernetes & OpenShift",Financial aid available,64089,569,kubernetes|docker|cloud native|containers|openshift,4.4
Introduction to DevOps,Financial aid available,75888,1786,cloud native|devops|ci/cd|agile|tdd/bdd,4.8
AR in marketing using Meta Spark,Financial aid available,0,0,mathematical optimization|face tracking|meta spark|ar effect|effects,0.0
AR for web using JavaScript,Financial aid available,0,0,playcanvas|javascript|web ar|blender,0.0
Cybersecurity Management and Compliance,Financial aid available,0,0,data management|cloud architecture|cloud computing security|cybersecurity planning|record management,0.0
Cybersecurity Tools and Technologies,Financial aid available,0,0,cloud computing security|system testing|security testing|penetration test,0.0
Cybersecurity Threat Vectors and Mitigation,Financial aid available,1922,11,information security (infosec)|threat intelligence|encryption techniques|cybersecurity|compliance techniques,4.6
Introduction to Networking and Cloud Computing,Financial aid available,3465,28,cloud computing security|network monitoring|network security|computer network,4.8
Exam Prep: AWS Certified Solutions Architect - Associate,Financial aid available,18498,82,cloud computing security|cloud computing architecture|aws cloud,4.7
Cybersecurity Solutions and Microsoft Defender,Financial aid available,0,0,information security (infosec)|threat intelligence|cloud computing security|event management|security response,0.0
Cybersecurity Identity and Access Solutions using Azure AD,Financial aid available,0,0,information security (infosec)|access management|identity governance|enterprise security|authentication methods,0.0
Unity and C# basics,Financial aid available,0,11,unity|debugging|rigged animation|c# object-oriented programming,4.8
Architecting Solutions on AWS,Financial aid available,15519,98,software architecture|data analysis|data visualization (dataviz)|aws account management,4.8
Prepare for AZ-204: Developing Solutions for Microsoft Azure,Financial aid available,2691,14,test preparation|microsoft azure,4.6
Introduction to Computers and Operating Systems and Security,Financial aid available,18005,128,computer architecture|cybersecurity|cloud computing|operating systems,4.8
Deploy a website to Azure with Azure App Service,Financial aid available,2324,11,microsoft azure|web application|microsoft visual studio,4.8
AWS Cloud Technical Essentials,Financial aid available,197285,3960,aws identity and access management|networking on aws|aws management console|cloud computing|aws security,4.8
Planning for a Google Workspace Deployment,Financial aid available,8438,331,,4.8
Secure your Cloud Data,Financial aid available,1712,0,data security|network security|cloud computing security|microsoft azure|cloud management,0.0
Google Workspace Mail Management,Financial aid available,13005,603,,4.8
Google Workspace Security,Financial aid available,17795,750,,4.7
Manage Resources in Azure,Financial aid available,1852,0,powershell|microsoft azure|resource management|cloud computing,0.0
Deploy a website with Azure Virtual Machines,Financial aid available,2031,12,linux|windows|web application|microsoft azure|virtual machine,4.8
Introduction to Designing Data Lakes on AWS,Financial aid available,17866,166,data science|analytics|big data|data lake|amazon web services (amazon aws),4.7
Data Storage in Microsoft Azure for Associate Developers,Financial aid available,1954,14,data management|analytics|combination|measurement|continuous function,4.4
Managing Google Workspace,Financial aid available,16783,924,,4.7
Introduction to Google Workspace Administration,Financial aid available,47625,2153,,4.7
Create Serverless Applications					,Financial aid available,9217,52,microsoft azure|cloud-based integration|azure functions,4.5
Innovating with Data and Google Cloud,Financial aid available,25811,652,,4.8
Getting Started with Google Kubernetes Engine,,111906,3594,continuous delivery|kubernetes|google cloud platform|jenkins (software),4.5
Getting Started With Application Development,Financial aid available,45687,2121,cloud storage|data store|google cloud platform|cloud computing,4.5
Fundamentals of Social Media Advertising,Financial aid available,75103,1996,social media marketing|brand management|campaign management|ad management,4.8
Connect Your Services with Microsoft Azure Service Bus,Financial aid available,2168,14,data management|message|cloud storage|microsoft azure|communication,4.8
Advertising with Meta,Financial aid available,68559,2128,social media marketing|meta ads manager|meta advertising,4.8
Digital Transformation with Google Cloud,Financial aid available,55608,1743,,4.8
Introduction to Social Media Marketing,Financial aid available,349637,11868,social media marketing|marketing|digital marketing|social media marketing strategy,4.8
Securing and Integrating Components of your Application,Financial aid available,21940,1314,application programming interfaces (api)|cloud functions|identity management (idm)|cloud endpoints|publish–subscribe pattern,4.6
Measure and Optimize Social Media Marketing Campaigns,Financial aid available,46074,1477,marketing optimization|digital marketing|digital analytics|marketing strategy|communication,4.9
Social Media Management ,Financial aid available,144705,4307,content development|content management|social media marketing|content marketing|marketing content development,4.9
Liabilities and Equity in Accounting,Financial aid available,20220,443,accounts payable and payroll|owner’s equity and owner’s draw|accounting|long-term liabilities and note payable|accounting for liabilities and equity,4.2
Bookkeeping Basics,Financial aid available,116073,3644,basis of accounting|accounting software|accounting cycle|creating financial statements|double-entry bookkeeping system,4.6
Introduction to Agile Development and Scrum,Financial aid available,41538,1227,agile software development|scrum methodology|zenhub|kanban|sprint planning,4.9
"Project Management Communication, Stakeholders & Leadership ",Financial aid available,1719,13,project management|communication|leadership|stakeholder management,4.9
"Project Lifecycle, Information Sharing, and Risk Management",Financial aid available,1706,12,project management|risk management|systems development life cycle|information sharing,4.3
Practice Exam for CAPM Certification,Financial aid available,0,0,pmi-capm|business analysis|leadership|agile|project management,0.0
"Project Management Foundations, Initiation, and Planning",Financial aid available,3007,27,project management|project planning|project initiation,4.6
Compensation and Benefits,Financial aid available,0,0,benefit types|pay systems|total rewards|compensation strategy,0.0
Employee Relations,Financial aid available,0,0,business continuity|employee engagement|performance management|employee relations,0.0
Compliance and Risk Management,Financial aid available,0,0,legal compliance|compliance implementation|compliance strategy|safety compliance|risk management,0.0
Project Management Capstone,Financial aid available,0,0,agile management|risk management|scrum (software development)|leadership|project management,0.0
Assets in Accounting,Financial aid available,33662,740,accounts receivable and cash receipts|inventory costing methods|pp&e accounting|asset accounting|depreciation,4.4
Learning and Development,Financial aid available,1635,18,learning delivery methods|effective training|training needs|learning models,4.7
Introduction to Project Management ,Financial aid available,11220,163,project planning|career development|scrum master|agile pm|project management,4.8
Introduction to Statistical Analysis:  Hypothesis Testing,Financial aid available,11452,91,multivariate time series analysis|multivariate analysis|multivariate statistics|predictive modelling,4.6
Regression Modeling Fundamentals,Financial aid available,4477,40,multivariate time series analysis|surrogate model|multivariate analysis|predictive modelling,4.8
Practicing for the SAS Programming Certification Exam,Financial aid available,4319,73,,4.9
Getting Started with SAS Programming,Financial aid available,95950,2882,sas studio|import data|reports|prepare data|sas programs,4.8
Predictive Modeling with Logistic Regression using SAS ,Financial aid available,4927,45,oversampling|logistic regression|predictive modelling|regression,4.6
Preparing for the SAS Programming Certification Exam ,Financial aid available,5267,117,,4.8
Introduction to Artificial Intelligence (AI),Financial aid available,239090,11186,data science|deep learning|artificial intelligence (ai)|jobs|machine learning,4.7
Doing More with SAS Programming,Financial aid available,28299,898,,4.8
Building AI Applications with Watson APIs,Financial aid available,18624,690,artifical intelligence|machine learning|python programming|watson ai|chatbot,4.3
Developing AI Applications with Python and Flask,Financial aid available,38603,419,artificial intelligence (ai)|web application|python programming|application development|flask,4.3
Advanced SAS Programming Techniques,Financial aid available,3136,81,,4.9
Google Cloud Big Data and Machine Learning Fundamentals,Financial aid available,294774,15659,tensorflow|bigquery|google cloud platform|cloud computing,4.7
"Python for Data Science, AI & Development",Financial aid available,624728,32856,data science|python programming|data analysis|pandas|numpy,4.6
Structured Query Language (SQL) using SAS ,Financial aid available,12741,235,,4.9
SAS Macro Language,Financial aid available,5870,130,,4.8
Create and Lead an Ethical Data-Driven Organization,Financial aid available,10428,70,code of ethics|policy|ethical leadership|ethics of artificial intelligence|governance,4.6
Preparing for Your CertNexus Certification Exam,Financial aid available,10223,120,test preparation|schedule|certification|pearsonvue|online proctored,4.8
Creating Advanced Reports with SAS Visual Analytics,Financial aid available,9559,199,,4.7
AI Capstone Project with Deep Learning ,Financial aid available,17239,467,,4.5
Machine Learning Capstone,Financial aid available,5258,29,artificial neural network|python programming|data analysis|supervised learning|unsupervised machine learning,4.3
Getting Started with SAS Visual Analytics ,Financial aid available,25432,827,,4.7
Building Deep Learning Models with TensorFlow,Financial aid available,21381,740,,4.4
Deep Neural Networks with PyTorch,Financial aid available,51248,1421,,4.4
Introduction to Computer Vision and Image Processing,Financial aid available,51436,975,deep learning|opencv|artificial intelligence (ai)|image processing|computer vision,4.3
"Performing Network, Path, and Text Analyses in SAS Visual Analytics",Financial aid available,8403,186,,4.7
Using Data for Geographic Mapping and Forecasting in SAS Visual Analytics,Financial aid available,8799,208,,4.8
Data Analysis and Reporting in SAS Visual Analytics,Financial aid available,13528,336,,4.8
Communicate Effectively about Ethical Challenges in Data-Driven Technologies,Financial aid available,10449,66,marketing|business strategy|leadership and management|communication|crisis management,4.4
Machine Learning with Python,Financial aid available,357303,14416,scipy and scikit-learn|machine learning|regression|classification|hierarchical clustering,4.7
Introduction to Deep Learning & Neural Networks with Keras,Financial aid available,38653,1343,deep learning|artificial neural network|artificial intelligence (ai)|machine learning|keras,4.7
 Unsupervised Machine Learning,Financial aid available,16479,194,dimensionality reduction|unsupervised learning|cluster analysis|k means clustering|principal component analysis (pca),4.7
Deep Learning and Reinforcement Learning,Financial aid available,16211,151,deep learning|artificial neural network|machine learning|reinforcement learning|keras,4.5
Exploratory Data Analysis for Machine Learning,Financial aid available,66784,1323,artificial intelligence (ai)|machine learning|feature engineering|statistical hypothesis testing|exploratory data analysis,4.6
Supervised Machine Learning: Regression,Financial aid available,23836,422,regression analysis|supervised learning|linear regression|ridge regression|machine learning (ml) algorithms,4.7
Detect and Mitigate Ethical Risks,Financial aid available,11422,78,risk management|general statistics|risk assessment|ethics of artificial intelligence|privacy,4.5
Promote the Ethical Use of Data-Driven Technologies,Financial aid available,15153,183,,4.7
 Supervised Machine Learning: Classification,Financial aid available,18666,255,decision tree|ensemble learning|classification algorithms|supervised learning|machine learning (ml) algorithms,4.8
Turn Ethical Frameworks into Actionable Steps,Financial aid available,11699,106,business analysis|information privacy|business strategy|compliance|ethics of artificial intelligence,4.7
Finalize a Data Science Project,Financial aid available,0,0,data science|communication|data visualization (dataviz)|production pipeline|data model,0.0
Analyze Data,Financial aid available,0,14,data insight|data analysis|dissemination|preprocess data|data visualization (dataviz),4.7
"Extract, Transform, and Load Data",Financial aid available,2856,16,"extraction, transformation and loading (etl)|cleaning|data mining",4.8
Train Machine Learning Models,Financial aid available,0,0,design of experiments|machine learning|clustering|regression|classification,0.0
Address Business Issues with Data Science ,Financial aid available,2261,18,data-informed decision-making|scope (project management)|business process,4.6
Preparing for the Google Cloud Professional Data Engineer Exam,Financial aid available,43509,965,,4.6
Building Batch Data Pipelines on Google Cloud,Financial aid available,41673,1629,,4.5
"Smart Analytics, Machine Learning, and AI on Google Cloud",Financial aid available,33714,1183,,4.6
Building Resilient Streaming Analytics Systems on Google Cloud,Financial aid available,33239,1205,,4.6
Modernizing Data Lakes and Data Warehouses with Google Cloud,Financial aid available,47858,2713,,4.7
Getting Started with AI using IBM Watson,Financial aid available,49243,2747,deep learning|application programming interfaces (api)|artificial intelligence (ai)|machine learning|watson,4.5
Building AI Powered Chatbots Without Programming,Financial aid available,54048,2437,,4.8
