course_name,fin_aid_status,no_enrolled,no_reviews,skills,star_rating
Excel Basics for Data Analysis,Financial aid available,222648,6194,data science|spreadsheet|microsoft excel|data analysis|pivot table,4.8
Databases and SQL for Data Science with Python,Financial aid available,361691,18100,cloud databases|python programming|jupyter notebooks|relational database management system (rdbms)|sql,4.6
Databases and SQL for Data Science with Python,Financial aid available,361691,18100,cloud databases|python programming|jupyter notebooks|relational database management system (rdbms)|sql,4.6
Python Project for Data Science,Financial aid available,150936,3456,data science|python programming|data analysis|pandas|jupyter notebooks,4.5
Introduction to Data Engineering,Financial aid available,93254,1929,data science|information engineering|database (dbms)|nosql|sql,4.7
Data Analysis with Python,Financial aid available,354014,16980,predictive modelling|python programming|data analysis|data visualization (dataviz)|model selection,4.7
Python Project for Data Engineering,Financial aid available,28473,425,information engineering|python programming|extract transform and load (etl)|data engineer|web scraping,4.6
"Python for Data Science, AI & Development",Financial aid available,624728,32856,data science|python programming|data analysis|pandas|numpy,4.6
Data Science Methodology,Financial aid available,255049,19313,data science|methodology|crisp-dm|data analysis|data mining,4.6
Tools for Data Science,Financial aid available,397900,27089,data science|github|python programming|jupyter notebooks|rstudio,4.5
What is Data Science? ,Financial aid available,831025,64613,data science|deep learning|machine learning|big data|data mining,4.7
Databases and SQL for Data Science with Python,Financial aid available,361691,18100,cloud databases|python programming|jupyter notebooks|relational database management system (rdbms)|sql,4.6
Python Project for Data Science,Financial aid available,150936,3456,data science|python programming|data analysis|pandas|jupyter notebooks,4.5
Data Visualization with Python,Financial aid available,227526,11103,dashboards and charts|dash|python programming|matplotlib|data visualization (dataviz),4.5
Data Analysis with Python,Financial aid available,354014,16980,predictive modelling|python programming|data analysis|data visualization (dataviz)|model selection,4.7
Data Visualization and Dashboards with Excel and Cognos,Financial aid available,94923,2931,microsoft excel|data analysis|data visualization (dataviz)|ibm cognos analytics|dashboard,4.7
The Path to Insights: Data Models and Pipelines,Financial aid available,13094,160,"data management|google dataflow/google bigquery|extraction, transformation and loading (etl)|database optimization|data transformation",4.7
Foundations of Business Intelligence,Financial aid available,38237,447,stakeholder management|sharing insights with stakeholders|asking effective questions|cross-functional team dynamics|business processes and requirements,4.8
Azure Data Lake Storage Gen2 and Data Streaming Solution,Financial aid available,3810,23,upload|data streaming|microsoft azure|big data|complex event processing (cep),4.1
Microsoft Azure Databricks for Data Engineering,Financial aid available,10811,72,microsoft azure|information engineering|data processing|data management,4.4
Introduction to Data Analytics,Financial aid available,370590,12482,data science|spreadsheet|microsoft excel|data analysis|data visualization (dataviz),4.8
"Python for Data Science, AI & Development",Financial aid available,624728,32856,data science|python programming|data analysis|pandas|numpy,4.6
"Python for Data Science, AI & Development",Financial aid available,624728,32856,data science|python programming|data analysis|pandas|numpy,4.6
Data Engineering with MS Azure Synapse Apache Spark Pools,Financial aid available,4390,26,data management|information engineering|microsoft azure|apache spark|sql,3.8
Operational Analytics with Microsoft Azure Synapse Analytics,Financial aid available,3377,17,microsoft azure|analytics|apache spark,4.5
Prepare for DP-203: Data Engineering on Microsoft Azure Exam,Financial aid available,4794,41,test preparation|microsoft azure|information engineering,4.4
Data Storage in Microsoft Azure,Financial aid available,11585,125,microsoft azure|data security|data processing|data storage,4.3
Introduction to Microsoft Azure Synapse Analytics,Financial aid available,6516,53,microsoft azure|data analysis|data warehousing|data architecture,3.9
Data Integration with Microsoft Azure Data Factory,Financial aid available,10326,111,microsoft azure|data integration|data pipelines,3.9
Data Warehousing Capstone Project,Financial aid available,0,0,"oltp databases|data warehousing|relational database|extraction, transformation and loading (etl)|data pipelines",0.0
"ETL and Data Pipelines with Shell, Airflow and Kafka",Financial aid available,28582,227,apache airflow|apache kafka|data pipelines|extract transform and load (etl)|data engineer,4.5
Getting Started with Data Warehousing and BI Analytics,Financial aid available,15073,111,data warehousing|cube and rollup|business intelligence (bi)|star and snowflake schema|cognos analytics,4.3
Hands-on Introduction to Linux Commands and Shell Scripting,Financial aid available,60903,825,linux|bash (unix shell)|extract transform and load (etl)|linux commands|shell script,4.6
Introduction to Relational Databases (RDBMS),Financial aid available,34146,403,database (db) design|database architecture|postgresql|mysql|relational database management system (rdbms),4.7
Data Warehousing with Microsoft Azure Synapse Analytics,Financial aid available,5425,38,microsoft azure|data warehousing|data security,3.9
SQL: A Practical Introduction for Querying Databases,Financial aid available,9035,123,"create, read, update and delete|data analysis|mysql|relational database management system (rdbms)|sql",4.7
Go Beyond the Numbers: Translate Data into Insights,Financial aid available,17130,188,python programming|tableau software|data visualization (dataviz)|effective communication|exploratory data analysis,4.7
The Nuts and Bolts of Machine Learning,Financial aid available,12119,92,predictive modelling|machine learning|python programming|stack overflow|effective communication,4.8
Relational Database Administration (DBA),Financial aid available,14728,111,database (dbms)|database servers|relational database|database security|database administration,4.5
Coding Interview Preparation,Financial aid available,38291,226,pseudocode|algorithms|communication|data structure|computer science,4.7
Regression Analysis: Simplify Complex Data Relationships,Financial aid available,11983,112,predictive modelling|statistical analysis|python programming|effective communication|regression modeling,4.7
Get Started with Python,Financial aid available,29555,397,using comments to enhance code readability|python programming|jupyter notebook|data visualization (dataviz)|coding,4.8
The Power of Statistics,Financial aid available,15603,166,statistical analysis|python programming|effective communication|statistical hypothesis testing|probability distribution,4.8
Advanced MySQL Topics,Financial aid available,8658,102,database (db) design|database (dbms)|mysql,4.6
Database Clients,Financial aid available,4473,42,data management|database (dbms)|python programming|mysql|django (web framework),4.2
Programming in Python,Financial aid available,53167,904,cloud hosting|application programming interfaces (api)|python programming|computer programming|django (web framework),4.6
Database Structures and Management with MySQL,Financial aid available,12866,224,data management|database (dbms)|relational database|database administration|mysql,4.8
Prepare for DP-100: Data Science on Microsoft Azure Exam,Financial aid available,4319,30,test preparation|microsoft azure,4.6
Version Control,Financial aid available,86116,2090,linux|web development|bash (unix shell)|github|version control,4.7
Database Engineer Capstone,Financial aid available,3543,32,database (dbms)|application development|mysql|django (web framework)|project management,3.7
Perform data science with Azure Databricks,Financial aid available,4677,33,microsoft azure|machine learning|data processing|azure databricks,3.7
Advanced Data Modeling,Financial aid available,5300,37,"data model|extraction, transformation and loading (etl)|data warehousing",4.1
Microsoft Azure Machine Learning for Data Scientists,Financial aid available,6539,76,machine learning|regression|microsoft azure|regression analysis|supervised learning,4.6
Foundations of Data Science,Financial aid available,54944,872,sharing insights with stakeholders|effective written communication|asking effective questions|cross-functional team dynamics|project management,4.7
Build and Operate Machine Learning Solutions with Azure,Financial aid available,4570,26,modeling|microsoft azure|data security|machine learning,4.3
Introduction to Databases,Financial aid available,36576,667,database (dbms)|mysql|database administration,4.7
Create Machine Learning Models in Microsoft Azure,Financial aid available,14527,150,modeling|microsoft azure|machine learning|experiment,4.6
Convolutional Neural Networks in TensorFlow,Financial aid available,133892,7878,inductive transfer|augmentation|dropouts|machine learning|tensorflow,4.7
"Sequences, Time Series and Prediction",Financial aid available,120491,4843,forecasting|machine learning|tensorflow|time series|prediction,4.7
Natural Language Processing in TensorFlow,Financial aid available,127161,6270,natural language processing|tokenization|machine learning|tensorflow|rnns,4.6
Managing for Frictionless Sales,Financial aid available,0,0,customer success|sales team management|sales|sales process engineering|onboarding,0.0
Sales Reporting with HubSpot,Financial aid available,0,0,data management|customer relationship management (crm)|data analysis|sales|data visualization (dataviz),0.0
Inbound Sales,Financial aid available,0,0,outreach sequence|social selling|customer experience|inside sales|sales presentation,0.0
Lead Management with HubSpot,Financial aid available,0,0,customer relationship management (crm)|data analysis|lead management,0.0
Interacting with Customers,Financial aid available,0,0,customer service|communication|de-escalation|time management,0.0
Introduction to Customer Service,Financial aid available,1627,12,active listening|communication|task prioritization|time management,4.8
Call Center Customer Service,Financial aid available,0,0,customer service|problem solving|communication|time management|de-escalation,0.0
